year,age,tm,pos,no.,games_g,games_gs,0-19_fga,0-19_fgm,20-29_fga,20-29_fgm,30-39_fga,30-39_fgm,40-49_fga,40-49_fgm,50+_fga,50+_fgm,scoring_fga,scoring_fgm,lng,scoring_fg%,scoring_xpa,scoring_xpm,scoring_xp%,kickoffs_ko,kickoffs_koyds,kickoffs_tb,kickoffs_tb%,kickoffs_koavg,name,link,playoff_stat,av,tot_fga,tot_fgm,tot_lng,fg%,pat_xpa,pat_xpm,xp%,awards
2017.0,36,LAC,K,9.0,7,0.0,,,4.0,4.0,5.0,4.0,2.0,,2.0,1.0,13.0,9.0,50.0,69.2%,18.0,17.0,94.4%,,,,,,Nick Novak,https://www.pro-football-reference.com/players/N/novaknic01.htm,False,0.0,,,,,,,,
2005.0,23,NYJ,K,1.0,16,0.0,,,9.0,8.0,7.0,7.0,10.0,7.0,2.0,,28.0,22.0,49.0,78.6%,24.0,24.0,100.0%,63.0,3683.0,1.0,1.6%,58.5,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,3.0,,,,,,,,
2006.0,24,NYJ,K,1.0,16,0.0,1.0,1.0,7.0,7.0,12.0,10.0,4.0,4.0,3.0,2.0,27.0,24.0,54.0,88.9%,35.0,34.0,97.1%,72.0,4383.0,2.0,2.8%,60.9,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,4.0,,,,,,,,
2007.0,25,NYJ,K,1.0,16,0.0,1.0,1.0,11.0,11.0,12.0,10.0,8.0,6.0,4.0,1.0,36.0,29.0,50.0,80.6%,24.0,23.0,95.8%,65.0,3952.0,9.0,13.8%,60.8,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,2.0,,,,,,,,
2008.0,26,NYJ,K,1.0,1,0.0,,,,,1.0,,,,,,1.0,,,0.0%,2.0,2.0,100.0%,3.0,158.0,,,52.7,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,0.0,,,,,,,,
2009.0,27,2TM,K,,6,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,,,8.0,4.0,48.0,50.0%,14.0,14.0,100.0%,23.0,1359.0,1.0,4.3%,59.1,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,0.0,,,,,,,,
2010.0,28,CIN,K,2.0,9,0.0,,,5.0,5.0,7.0,7.0,3.0,1.0,4.0,2.0,19.0,15.0,54.0,78.9%,17.0,17.0,100.0%,44.0,2765.0,7.0,15.9%,62.8,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,2.0,,,,,,,,
2011.0,29,CIN,K,2.0,16,0.0,,,14.0,14.0,8.0,5.0,16.0,14.0,,,38.0,33.0,49.0,86.8%,34.0,33.0,97.1%,80.0,5215.0,36.0,45.0%,65.2,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,3.0,,,,,,,,
2012.0,30,CIN,K,2.0,12,0.0,2.0,2.0,5.0,5.0,5.0,5.0,9.0,6.0,2.0,1.0,23.0,19.0,55.0,82.6%,35.0,35.0,100.0%,65.0,4252.0,21.0,32.3%,65.4,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,2.0,,,,,,,,
2013.0,31,CIN,K,2.0,16,0.0,,,2.0,2.0,7.0,6.0,9.0,7.0,4.0,3.0,22.0,18.0,54.0,81.8%,53.0,52.0,98.1%,86.0,5428.0,32.0,37.2%,63.1,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,3.0,,,,,,,,
2014.0,32,CIN,K,2.0,16,0.0,,,6.0,6.0,12.0,10.0,12.0,10.0,3.0,,33.0,26.0,49.0,78.8%,39.0,39.0,100.0%,81.0,5316.0,37.0,45.7%,65.6,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,2.0,,,,,,,,
2015.0,33,CIN,K,2.0,16,0.0,,,6.0,6.0,6.0,5.0,13.0,10.0,3.0,2.0,28.0,23.0,52.0,82.1%,49.0,48.0,98.0%,89.0,5786.0,42.0,47.2%,65.0,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,3.0,,,,,,,,
2016.0,34,CIN,K,2.0,13,0.0,,,9.0,9.0,10.0,9.0,7.0,5.0,3.0,,29.0,23.0,47.0,79.3%,29.0,23.0,79.3%,63.0,3970.0,28.0,44.4%,63.0,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,0.0,,,,,,,,
2017.0,35,2TM,K,,8,0.0,,,3.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,13.0,11.0,55.0,84.6%,17.0,15.0,88.2%,36.0,2262.0,18.0,50.0%,62.8,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,2.0,,,,,,,,
2018.0,36,OAK,K,6.0,3,0.0,,,3.0,3.0,,,2.0,2.0,1.0,1.0,6.0,6.0,52.0,100.0%,5.0,4.0,80.0%,14.0,858.0,6.0,42.9%,61.3,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,1.0,,,,,,,,
2019.0,37,NWE,K,2.0,4,0.0,,,4.0,3.0,3.0,2.0,1.0,,,,8.0,5.0,29.0,62.5%,16.0,15.0,93.8%,,,,,,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,-1.0,,,,,,,,
