week_ind,day_int,OT,away,attendance,roof_type,humidity_pct,wind_speed,temperature,duration,coach_rating,coach_rating_opp,home_strength,opp_strength
16.0,1,0,1,71842.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,176.0,73.98239132191338,111.43052323348692,-16.86570726615169,-8.37179910357062
17.0,2,0,0,50704.0,outdoors,59.4390243902439,3.0,11.0,185.0,112.46451038748828,1.8218492882329544,3.4666190905845724,-33.48524051828926
21.0,2,0,0,64524.0,outdoors,59.4390243902439,2.0,18.0,202.0,111.6820190630591,103.80205882352936,19.365207437115245,-25.06944403044914
1.0,2,0,1,55254.0,outdoors,59.4390243902439,9.0,68.0,177.0,86.38673990413136,78.8590850195904,6.698508649646843,-39.99038596441472
2.0,2,0,0,70605.0,outdoors,59.4390243902439,2.0,80.0,197.0,79.72290056204824,-25.288882352941243,-20.95993701812251,-28.081065657969912
3.0,2,0,1,84592.0,outdoors,59.4390243902439,10.0,70.0,169.0,79.11653895274586,79.06581121337419,-3.2464184014971345,-37.65107819063833
5.0,2,0,1,54980.0,outdoors,59.4390243902439,8.0,72.0,171.0,42.95197984622551,73.31315714285712,-8.3696042702807,-6.409106198182211
6.0,2,1,0,70616.0,outdoors,59.4390243902439,7.0,69.0,206.0,75.13357636012152,116.36831627466192,-11.349068425662756,-22.92316786203376
7.0,2,0,1,66751.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,168.0,59.11789346164345,74.30014113810175,9.21345680436811,-27.79550564267503
9.0,2,0,1,67322.0,outdoors,59.4390243902439,10.0,75.0,187.0,47.10479166666666,73.87626139297191,-3.789529117890544,-18.279512811356227
11.0,2,0,1,77945.0,outdoors,59.4390243902439,14.0,28.0,181.0,75.06176593600411,74.93608620689656,-11.236773424518551,-21.41466942065421
12.0,1,0,0,70357.0,outdoors,59.4390243902439,1.0,50.0,186.0,74.52553101503756,81.0008074799907,-1.8194110600058904,-21.14326344587796
13.0,2,0,0,70500.0,outdoors,59.4390243902439,4.0,53.0,185.0,74.37879243563452,65.95994281357224,9.794050072872938,-30.95857944442454
15.0,2,0,1,56434.0,outdoors,59.4390243902439,8.56071964017991,36.0,186.0,2.6699149274046547,72.78427175178233,-6.174343908238246,-20.198143909588996
16.0,3,0,0,70590.0,outdoors,59.4390243902439,14.0,63.0,176.0,74.34550988700562,45.946299938951,8.340381448691176,-19.16081792212669
17.0,2,0,0,70507.0,outdoors,59.4390243902439,12.0,19.0,213.0,74.69211482527723,69.4683706360593,-0.8245192037100306,-25.047206349760483
2.0,5,0,0,52942.0,outdoors,59.4390243902439,2.0,69.0,184.0,85.07420831643009,80.00239843489842,-0.6133216733125728,-34.521926907614485
3.0,2,1,1,78323.0,outdoors,59.4390243902439,8.0,89.0,198.0,82.84160102960098,85.14577762589289,-19.995657511673592,-15.79810650935747
4.0,2,0,1,67431.0,outdoors,59.4390243902439,6.0,63.0,176.0,-13.031583333333389,84.23380005587633,-11.211537488437957,-24.15918441631272
8.0,2,0,0,57901.0,outdoors,59.4390243902439,9.0,39.0,191.0,84.45908817344792,49.85195112781951,6.396986290666755,-24.601189026031108
9.0,2,0,1,60720.0,outdoors,59.4390243902439,12.0,78.0,177.0,90.1632718212812,83.43888606924897,5.268363573315005,-18.73657310494418
10.0,2,0,1,67432.0,outdoors,59.4390243902439,4.0,53.0,197.0,45.059624242424256,79.3778928571429,16.29320724752682,-32.54007210226821
11.0,2,0,1,75707.0,outdoors,59.4390243902439,7.0,60.0,184.0,95.68679166666666,77.6718695175439,10.723751766388435,-31.329067175874822
12.0,2,0,0,51710.0,outdoors,59.4390243902439,3.0,46.0,174.0,75.5491224915436,0.0664381670960807,-7.645851275327948,-7.247011705549275
14.0,2,0,0,52002.0,outdoors,59.4390243902439,11.0,31.0,190.0,74.59007666606102,103.03394945909406,-11.049280483058425,-18.55125619140305
15.0,2,0,1,66833.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,181.0,71.38373721479148,70.96981256530823,3.5109330887178665,-15.24668101038916
16.0,2,0,0,47732.0,outdoors,59.4390243902439,2.0,35.0,188.0,68.21480372775176,65.1953620169082,0.9553874207971588,-16.59355616974164
3.0,2,0,1,63351.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,198.0,59.10378908063764,-18.0983225108225,-4.1957860829239975,-22.96332993902983
6.0,2,0,1,71815.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,179.0,83.19283054711238,-3.132037815126047,-5.193323243416933,-44.26578283668931
7.0,2,1,0,59061.0,outdoors,59.4390243902439,12.0,74.0,194.0,-4.868308080808056,46.820399719495086,-8.72103087115894,-18.003657253769887
8.0,2,0,0,74237.0,outdoors,59.4390243902439,11.0,56.0,188.0,-1.168815074370734,62.06961361737677,-16.94098096008109,-24.78034253508699
10.0,2,0,1,64646.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,186.0,70.00114886459211,-3.288279411764705,-7.009801390858336,-27.495651882966676
11.0,2,0,0,57003.0,outdoors,59.4390243902439,16.0,38.0,190.0,1.9978174603174068,97.65416687393775,-18.561580205210014,-30.823197764546688
13.0,2,0,1,25320.0,outdoors,59.4390243902439,7.0,68.0,182.0,75.88419642857141,3.655398281056158,16.630749307030683,-18.641936155334555
