coach_name,coach_link,team_link,home_away,boxscore_id,date,coach_id,team_id,season
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,away,201310060clt,2013-10-06,CarrPe0,sea,2013
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,home,201310060clt,2013-10-06,PagaCh0,clt,2013
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,away,201310060crd,2013-10-06,RiveRo0,car,2013
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,home,201310060crd,2013-10-06,AriaBr0,crd,2013
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,away,201310060dal,2013-10-06,FoxxJo0,den,2013
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,home,201310060dal,2013-10-06,GarrJa0,dal,2013
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,away,201310060gnb,2013-10-06,SchwJi0,det,2013
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,home,201310060gnb,2013-10-06,McCaMi0,gnb,2013
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,away,201310060mia,2013-10-06,HarbJo0,rav,2013
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,home,201310060mia,2013-10-06,PhilJo0,mia,2013
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,away,201310060nyg,2013-10-06,KellCh0,phi,2013
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,home,201310060nyg,2013-10-06,CougTo0,nyg,2013
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,away,201310060oti,2013-10-06,ReidAn0,kan,2013
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,home,201310060oti,2013-10-06,MuncMi0,oti,2013
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,away,201310060rai,2013-10-06,McCoMi1,sdg,2013
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,home,201310060rai,2013-10-06,AlleDe0,rai,2013
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,away,201310060ram,2013-10-06,BradGu0,jax,2013
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,home,201310060ram,2013-10-06,FishJe0,ram,2013
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,away,201310060sfo,2013-10-06,KubiGa0,htx,2013
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,home,201310060sfo,2013-10-06,HarbJi0,sfo,2013
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,away,201310070atl,2013-10-07,RyanRe0,nyj,2013
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,home,201310070atl,2013-10-07,SmitMi0,atl,2013
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,away,201310100chi,2013-10-10,CougTo0,nyg,2013
