coach_name,coach_id,team_id,season,boxscore_id,event_date,week,home_team_id,opp_team_id,rating
Mike Shanahan,ShanMi0,was,2013,201309220was,2013-09-22,3,was,det,-55.25750000000002
Mike Smith,SmitMi0,atl,2013,201309220mia,2013-09-22,3,atl,mia,25.06500000000001
Mike Tomlin,TomlMi0,pit,2013,201309220pit,2013-09-22,3,pit,chi,-27.240000000000023
Marc Trestman,TresMa0,chi,2013,201309220pit,2013-09-22,3,chi,pit,91.47749999999996
Dennis Allen,AlleDe0,rai,2013,201309290rai,2013-09-29,4,rai,was,59.850833333333355
Bruce Arians,AriaBr0,crd,2013,201309290tam,2013-09-29,4,crd,tam,17.581666666666678
Bill Belichick,BeliBi0,nwe,2013,201309290atl,2013-09-29,4,nwe,atl,109.605
Gus Bradley,BradGu0,jax,2013,201309290jax,2013-09-29,4,jax,clt,-95.19666666666663
Pete Carroll,CarrPe0,sea,2013,201309290htx,2013-09-29,4,sea,htx,228.0400000000001
Rob Chudzinski,ChudRo0,cle,2013,201309290cle,2013-09-29,4,cle,cin,83.02583333333337
Tom Coughlin,CougTo0,nyg,2013,201309290kan,2013-09-29,4,nyg,kan,-2.3549999999999756
Jeff Fisher,FishJe0,ram,2013,201309260ram,2013-09-26,4,ram,sfo,4.580833333333331
John Fox,FoxxJo0,den,2013,201309290den,2013-09-29,4,den,phi,205.22333333333336
Leslie Frazier,FrazLe0,min,2013,201309290min,2013-09-29,4,min,pit,-31.00000000000007
Jason Garrett,GarrJa0,dal,2013,201309290sdg,2013-09-29,4,dal,sdg,84.0741666666666
Jim Harbaugh,HarbJi0,sfo,2013,201309260ram,2013-09-26,4,sfo,ram,31.47499999999992
John Harbaugh,HarbJo0,rav,2013,201309290buf,2013-09-29,4,rav,buf,35.648333333333376
Chip Kelly,KellCh0,phi,2013,201309290den,2013-09-29,4,phi,den,87.4133333333333
Gary Kubiak,KubiGa0,htx,2013,201309290htx,2013-09-29,4,htx,sea,207.29499999999996
Marvin Lewis,LewiMa0,cin,2013,201309290cle,2013-09-29,4,cin,cle,84.6791666666667
Doug Marrone,MarrDo0,buf,2013,201309290buf,2013-09-29,4,buf,rav,-1.8466666666666498
Mike McCoy,McCoMi1,sdg,2013,201309290sdg,2013-09-29,4,sdg,dal,-49.288333333333355
Mike Munchak,MuncMi0,oti,2013,201309290oti,2013-09-29,4,oti,nyj,72.24166666666667
Chuck Pagano,PagaCh0,clt,2013,201309290jax,2013-09-29,4,clt,jax,86.14666666666668
Sean Payton,PaytSe0,nor,2013,201309300nor,2013-09-30,4,nor,mia,190.9666666666666
Joe Philbin,PhilJo0,mia,2013,201309300nor,2013-09-30,4,mia,nor,19.349999999999987
Andy Reid,ReidAn0,kan,2013,201309290kan,2013-09-29,4,kan,nyg,103.69833333333328
Rex Ryan,RyanRe0,nyj,2013,201309290oti,2013-09-29,4,nyj,oti,180.9233333333333
Greg Schiano,SchiGr0,tam,2013,201309290tam,2013-09-29,4,tam,crd,-5.383333333333368
Jim Schwartz,SchwJi0,det,2013,201309290det,2013-09-29,4,det,chi,117.16833333333334
Mike Shanahan,ShanMi0,was,2013,201309290rai,2013-09-29,4,was,rai,-22.383333333333326
Mike Smith,SmitMi0,atl,2013,201309290atl,2013-09-29,4,atl,nwe,69.6666666666667
Mike Tomlin,TomlMi0,pit,2013,201309290min,2013-09-29,4,pit,min,66.29833333333335
Marc Trestman,TresMa0,chi,2013,201309290det,2013-09-29,4,chi,det,21.497500000000002
Dennis Allen,AlleDe0,rai,2013,201310060rai,2013-10-06,5,rai,sdg,49.48000000000002
Bruce Arians,AriaBr0,crd,2013,201310060crd,2013-10-06,5,crd,car,41.04374999999997
Bill Belichick,BeliBi0,nwe,2013,201310060cin,2013-10-06,5,nwe,cin,97.74499999999998
Gus Bradley,BradGu0,jax,2013,201310060ram,2013-10-06,5,jax,ram,-122.69250000000005
Pete Carroll,CarrPe0,sea,2013,201310060clt,2013-10-06,5,sea,clt,136.09875
Rob Chudzinski,ChudRo0,cle,2013,201310030cle,2013-10-03,5,cle,buf,99.68875
Tom Coughlin,CougTo0,nyg,2013,201310060nyg,2013-10-06,5,nyg,phi,-14.88375000000002
Jeff Fisher,FishJe0,ram,2013,201310060ram,2013-10-06,5,ram,jax,-31.284166666666664
John Fox,FoxxJo0,den,2013,201310060dal,2013-10-06,5,den,dal,185.61083333333335
Jason Garrett,GarrJa0,dal,2013,201310060dal,2013-10-06,5,dal,den,29.969583333333365
Jim Harbaugh,HarbJi0,sfo,2013,201310060sfo,2013-10-06,5,sfo,htx,93.08583333333334
John Harbaugh,HarbJo0,rav,2013,201310060mia,2013-10-06,5,rav,mia,41.348333333333336
Chip Kelly,KellCh0,phi,2013,201310060nyg,2013-10-06,5,phi,nyg,68.39249999999998
Gary Kubiak,KubiGa0,htx,2013,201310060sfo,2013-10-06,5,htx,sfo,225.71625000000003
Marvin Lewis,LewiMa0,cin,2013,201310060cin,2013-10-06,5,cin,nwe,59.85166666666665
Doug Marrone,MarrDo0,buf,2013,201310030cle,2013-10-03,5,buf,cle,18.912916666666646
Mike McCarthy,McCaMi0,gnb,2013,201310060gnb,2013-10-06,5,gnb,det,122.15749999999998
Mike McCoy,McCoMi1,sdg,2013,201310060rai,2013-10-06,5,sdg,rai,30.023750000000046
Mike Munchak,MuncMi0,oti,2013,201310060oti,2013-10-06,5,oti,kan,75.43624999999999
Chuck Pagano,PagaCh0,clt,2013,201310060clt,2013-10-06,5,clt,sea,149.27750000000003
Sean Payton,PaytSe0,nor,2013,201310060chi,2013-10-06,5,nor,chi,199.25625000000005
Joe Philbin,PhilJo0,mia,2013,201310060mia,2013-10-06,5,mia,rav,-8.293749999999982
Andy Reid,ReidAn0,kan,2013,201310060oti,2013-10-06,5,kan,oti,124.70499999999996
Ron Rivera,RiveRo0,car,2013,201310060crd,2013-10-06,5,car,crd,82.76833333333337
Rex Ryan,RyanRe0,nyj,2013,201310070atl,2013-10-07,5,nyj,atl,148.01250000000002
Jim Schwartz,SchwJi0,det,2013,201310060gnb,2013-10-06,5,det,gnb,99.71000000000001
Mike Smith,SmitMi0,atl,2013,201310070atl,2013-10-07,5,atl,nyj,69.80249999999997
Marc Trestman,TresMa0,chi,2013,201310060chi,2013-10-06,5,chi,nor,38.46999999999999
Dennis Allen,AlleDe0,rai,2013,201310130kan,2013-10-13,6,rai,kan,28.933333333333316
Bruce Arians,AriaBr0,crd,2013,201310130sfo,2013-10-13,6,crd,sfo,28.622000000000064
Bill Belichick,BeliBi0,nwe,2013,201310130nwe,2013-10-13,6,nwe,nor,70.78
Gus Bradley,BradGu0,jax,2013,201310130den,2013-10-13,6,jax,den,-85.40958333333336
Pete Carroll,CarrPe0,sea,2013,201310130sea,2013-10-13,6,sea,oti,142.24299999999997
Rob Chudzinski,ChudRo0,cle,2013,201310130cle,2013-10-13,6,cle,det,85.13549999999996
Tom Coughlin,CougTo0,nyg,2013,201310100chi,2013-10-10,6,nyg,chi,-13.401250000000026
Jeff Fisher,FishJe0,ram,2013,201310130htx,2013-10-13,6,ram,htx,-10.292499999999976
John Fox,FoxxJo0,den,2013,201310130den,2013-10-13,6,den,jax,162.62208333333336
Leslie Frazier,FrazLe0,min,2013,201310130min,2013-10-13,6,min,car,-16.118333333333368
Jason Garrett,GarrJa0,dal,2013,201310130dal,2013-10-13,6,dal,was,36.759500000000074
Jim Harbaugh,HarbJi0,sfo,2013,201310130sfo,2013-10-13,6,sfo,crd,87.49624999999996
John Harbaugh,HarbJo0,rav,2013,201310130rav,2013-10-13,6,rav,gnb,66.4925
Chip Kelly,KellCh0,phi,2013,201310130tam,2013-10-13,6,phi,tam,83.49250000000004
Gary Kubiak,KubiGa0,htx,2013,201310130htx,2013-10-13,6,htx,ram,193.77849999999998
Marvin Lewis,LewiMa0,cin,2013,201310130buf,2013-10-13,6,cin,buf,81.58500000000004
Doug Marrone,MarrDo0,buf,2013,201310130buf,2013-10-13,6,buf,cin,37.49375000000002
Mike McCarthy,McCaMi0,gnb,2013,201310130rav,2013-10-13,6,gnb,rav,151.97416666666666
