coach_name,coach_link,team_link,home_away,boxscore_id,date
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,away,201310200car,2013-10-20
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,home,201310200car,2013-10-20
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,away,201310200clt,2013-10-20
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,home,201310200clt,2013-10-20
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,away,201310200det,2013-10-20
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,home,201310200det,2013-10-20
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,away,201310200gnb,2013-10-20
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,home,201310200gnb,2013-10-20
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,away,201310200jax,2013-10-20
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,home,201310200jax,2013-10-20
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,away,201310200kan,2013-10-20
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,home,201310200kan,2013-10-20
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,away,201310200mia,2013-10-20
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,home,201310200mia,2013-10-20
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,away,201310200nyj,2013-10-20
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,home,201310200nyj,2013-10-20
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,away,201310200oti,2013-10-20
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,home,201310200oti,2013-10-20
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,away,201310200phi,2013-10-20
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,home,201310200phi,2013-10-20
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,away,201310200pit,2013-10-20
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,home,201310200pit,2013-10-20
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,away,201310200was,2013-10-20
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,home,201310200was,2013-10-20
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,away,201310210nyg,2013-10-21
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,home,201310210nyg,2013-10-21
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,away,201310240tam,2013-10-24
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,home,201310240tam,2013-10-24
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,away,201310270cin,2013-10-27
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,home,201310270cin,2013-10-27
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,away,201310270crd,2013-10-27
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,home,201310270crd,2013-10-27
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,away,201310270den,2013-10-27
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,home,201310270den,2013-10-27
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,away,201310270det,2013-10-27
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,home,201310270det,2013-10-27
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,away,201310270jax,2013-10-27
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,home,201310270jax,2013-10-27
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,away,201310270kan,2013-10-27
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,home,201310270kan,2013-10-27
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,away,201310270min,2013-10-27
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,home,201310270min,2013-10-27
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,away,201310270nor,2013-10-27
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,home,201310270nor,2013-10-27
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,away,201310270nwe,2013-10-27
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,home,201310270nwe,2013-10-27
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,away,201310270phi,2013-10-27
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,home,201310270phi,2013-10-27
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,away,201310270rai,2013-10-27
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,home,201310270rai,2013-10-27
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,away,201310280ram,2013-10-28
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,home,201310280ram,2013-10-28
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,away,201310310mia,2013-10-31
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,home,201310310mia,2013-10-31
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,away,201311030buf,2013-11-03
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,home,201311030buf,2013-11-03
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,away,201311030car,2013-11-03
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,home,201311030car,2013-11-03
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,away,201311030cle,2013-11-03
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,home,201311030cle,2013-11-03
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,away,201311030dal,2013-11-03
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,home,201311030dal,2013-11-03
Chuck Pagano,/coaches/PagaCh0.htm,/teams/clt/2013.htm,away,201311030htx,2013-11-03
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,home,201311030htx,2013-11-03
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,away,201311030nwe,2013-11-03
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,home,201311030nwe,2013-11-03
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,away,201311030nyj,2013-11-03
Rex Ryan,/coaches/RyanRe0.htm,/teams/nyj/2013.htm,home,201311030nyj,2013-11-03
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,away,201311030rai,2013-11-03
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,home,201311030rai,2013-11-03
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,away,201311030ram,2013-11-03
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,home,201311030ram,2013-11-03
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,away,201311030sea,2013-11-03
